ID,Station,Network,Latitude,Longitude,Elevation,Depth,Avg_Depth,Beginning_Year,Ending_Year,Missing_Years,Percentage_Missing_Values,Number_of_Full_Years
97,CALABRIA_CALABRIA_Mongrassano_sm_0.300000_0.300000_ThetaProbe-ML2X_19500101_20241016.stm,CALABRIA,39.534,16.216,76,0.3-0.3,0.3,2001,2011,NA,0,11
98,CALABRIA_CALABRIA_Mongrassano_sm_0.600000_0.600000_ThetaProbe-ML2X_19500101_20241016.stm,CALABRIA,39.534,16.216,76,0.6-0.6,0.6,2001,2011,NA,0,11
99,CALABRIA_CALABRIA_Mongrassano_sm_0.900000_0.900000_ThetaProbe-ML2X_19500101_20241016.stm,CALABRIA,39.534,16.216,76,0.9-0.9,0.9,2001,2011,NA,0,11
100,CALABRIA_CALABRIA_Satriano_sm_0.300000_0.300000_ThetaProbe-ML2X_19500101_20241016.stm,CALABRIA,38.675,16.543,10,0.3-0.3,0.3,2001,2012,NA,0,12
101,CALABRIA_CALABRIA_Satriano_sm_0.600000_0.600000_ThetaProbe-ML2X_19500101_20241016.stm,CALABRIA,38.675,16.543,10,0.6-0.6,0.6,2001,2012,NA,0,12
102,CALABRIA_CALABRIA_Satriano_sm_0.900000_0.900000_ThetaProbe-ML2X_19500101_20241016.stm,CALABRIA,38.675,16.543,10,0.9-0.9,0.9,2001,2012,NA,0,12
103,CALABRIA_CALABRIA_Torano_sm_0.300000_0.300000_ThetaProbe-ML2X_19500101_20241016.stm,CALABRIA,39.5,16.211,97,0.3-0.3,0.3,2001,2012,NA,0,12
104,CALABRIA_CALABRIA_Torano_sm_0.600000_0.600000_ThetaProbe-ML2X_19500101_20241016.stm,CALABRIA,39.5,16.211,97,0.6-0.6,0.6,2001,2012,NA,0,12
105,CALABRIA_CALABRIA_Torano_sm_0.900000_0.900000_ThetaProbe-ML2X_19500101_20241016.stm,CALABRIA,39.5,16.211,97,0.9-0.9,0.9,2001,2012,NA,0,12
106,CAMPANIA_CAMPANIA_Bagnoli_sm_0.300000_0.300000_ThetaProbe-ML2X_19500101_20241016.stm,CAMPANIA,40.828,15.073,745,0.3-0.3,0.3,2000,2012,2009,7.692307692,12
107,CAMPANIA_CAMPANIA_Melizzano_sm_0.300000_0.300000_ThetaProbe-ML2X_19500101_20241016.stm,CAMPANIA,41.169,14.5,206,0.3-0.3,0.3,2000,2012,2009,7.692307692,12
108,COSMOS-UK_COSMOS-UK_AliceHolt_sm_0.000000_0.300000_Cosmic-ray-Probe_19500101_20241016.stm,COSMOS-UK,51.15355,-0.85823,80,0-0.3,0.15,2015,2022,NA,0,8
109,COSMOS-UK_COSMOS-UK_AliceHolt_sm_0.100000_0.100000_TDT-A_19500101_20241016.stm,COSMOS-UK,51.15355,-0.85823,80,0.1-0.1,0.1,2015,2023,NA,0,9
110,COSMOS-UK_COSMOS-UK_AliceHolt_sm_0.100000_0.100000_TDT-B_19500101_20241016.stm,COSMOS-UK,51.15355,-0.85823,80,0.1-0.1,0.1,2015,2023,NA,0,9
111,COSMOS-UK_COSMOS-UK_Balruddery_sm_0.000000_0.300000_Cosmic-ray-Probe_19500101_20241016.stm,COSMOS-UK,56.4823,-3.11149,130,0-0.3,0.15,2014,2022,NA,0,9
112,COSMOS-UK_COSMOS-UK_Balruddery_sm_0.100000_0.100000_TDT-A_19500101_20241016.stm,COSMOS-UK,56.4823,-3.11149,130,0.1-0.1,0.1,2014,2023,NA,0,10
113,COSMOS-UK_COSMOS-UK_Balruddery_sm_0.100000_0.100000_TDT-B_19500101_20241016.stm,COSMOS-UK,56.4823,-3.11149,130,0.1-0.1,0.1,2014,2023,NA,0,10
114,COSMOS-UK_COSMOS-UK_BickleyHall_sm_0.000000_0.300000_Cosmic-ray-Probe_19500101_20241016.stm,COSMOS-UK,53.02635,-2.70053,78,0-0.3,0.15,2015,2022,NA,0,8
115,COSMOS-UK_COSMOS-UK_BickleyHall_sm_0.100000_0.100000_TDT-A_19500101_20241016.stm,COSMOS-UK,53.02635,-2.70053,78,0.1-0.1,0.1,2015,2023,NA,0,9
